,image,label
13439,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054017776_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054017776_Camera_5_bin.png
4406,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 5\170927_064606079_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 5\170927_064606079_Camera_5_bin.png
4865,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 5\170927_064717329_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 5\170927_064717329_Camera_5_bin.png
9624,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030311068_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030311068_Camera_6_bin.png
19067,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054841907_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054841907_Camera_5_bin.png
2377,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064206967_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064206967_Camera_6_bin.png
16017,F:\BaiDuData\data\Imgae\Road04\Record002\Camera 6\171206_054259939_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record002\Camera 6\171206_054259939_Camera_6_bin.png
2761,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064300461_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064300461_Camera_6_bin.png
19746,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_055017976_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_055017976_Camera_5_bin.png
18700,F:\BaiDuData\data\Imgae\Road04\Record005\Camera 6\171206_054723338_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record005\Camera 6\171206_054723338_Camera_6_bin.png
18471,F:\BaiDuData\data\Imgae\Road04\Record005\Camera 5\171206_054735336_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record005\Camera 5\171206_054735336_Camera_5_bin.png
2831,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064315997_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064315997_Camera_6_bin.png
21439,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 5\171206_055209225_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 5\171206_055209225_Camera_5_bin.png
6247,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 5\171206_025930474_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 5\171206_025930474_Camera_5_bin.png
9421,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030441016_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030441016_Camera_5_bin.png
6942,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030025775_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030025775_Camera_5_bin.png
795,F:\BaiDuData\data\Imgae\Road02\Record002\Camera 6\170927_063941497_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record002\Camera 6\170927_063941497_Camera_6_bin.png
12080,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030626699_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030626699_Camera_6_bin.png
6080,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 5\171206_025909050_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 5\171206_025909050_Camera_5_bin.png
1377,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 6\170927_064037072_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 6\170927_064037072_Camera_6_bin.png
17198,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 6\171206_054412961_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 6\171206_054412961_Camera_6_bin.png
3643,F:\BaiDuData\data\Imgae\Road02\Record006\Camera 5\170927_064442442_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record006\Camera 5\170927_064442442_Camera_5_bin.png
14770,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054045348_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054045348_Camera_6_bin.png
7379,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030118485_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030118485_Camera_5_bin.png
13657,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054039793_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054039793_Camera_5_bin.png
9181,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030400971_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030400971_Camera_5_bin.png
14074,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054140245_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054140245_Camera_5_bin.png
5634,F:\BaiDuData\data\Imgae\Road03\Record001\Camera 5\171206_025751568_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record001\Camera 5\171206_025751568_Camera_5_bin.png
17387,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 6\171206_054435117_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 6\171206_054435117_Camera_6_bin.png
18546,F:\BaiDuData\data\Imgae\Road04\Record005\Camera 5\171206_054744111_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record005\Camera 5\171206_054744111_Camera_5_bin.png
2354,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064203915_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064203915_Camera_6_bin.png
4472,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 5\170927_064615450_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 5\170927_064615450_Camera_5_bin.png
9870,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030343663_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030343663_Camera_6_bin.png
15917,F:\BaiDuData\data\Imgae\Road04\Record002\Camera 6\171206_054247840_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record002\Camera 6\171206_054247840_Camera_6_bin.png
21069,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 5\171206_055116997_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 5\171206_055116997_Camera_5_bin.png
6293,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 5\171206_025935763_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 5\171206_025935763_Camera_5_bin.png
3233,F:\BaiDuData\data\Imgae\Road02\Record005\Camera 5\170927_064415992_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record005\Camera 5\170927_064415992_Camera_5_bin.png
14455,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054013534_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054013534_Camera_6_bin.png
14141,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054147547_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054147547_Camera_5_bin.png
6531,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 6\171206_025917689_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 6\171206_025917689_Camera_6_bin.png
3412,F:\BaiDuData\data\Imgae\Road02\Record005\Camera 6\170927_064350289_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record005\Camera 6\170927_064350289_Camera_6_bin.png
97,F:\BaiDuData\data\Imgae\Road02\Record001\Camera 5\170927_063830910_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record001\Camera 5\170927_063830910_Camera_5_bin.png
21270,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 5\171206_055146847_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 5\171206_055146847_Camera_5_bin.png
9986,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030357067_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030357067_Camera_6_bin.png
11241,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030750479_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030750479_Camera_5_bin.png
10809,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030641714_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030641714_Camera_5_bin.png
9840,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030339944_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030339944_Camera_6_bin.png
6822,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030010895_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030010895_Camera_5_bin.png
10684,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030624996_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030624996_Camera_5_bin.png
19319,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054915590_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054915590_Camera_5_bin.png
2484,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064221474_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064221474_Camera_6_bin.png
18979,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054828272_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054828272_Camera_5_bin.png
18686,F:\BaiDuData\data\Imgae\Road04\Record005\Camera 6\171206_054721420_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record005\Camera 6\171206_054721420_Camera_6_bin.png
12552,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030739863_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030739863_Camera_6_bin.png
7644,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 6\171206_030008688_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 6\171206_030008688_Camera_6_bin.png
16416,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 5\171206_054410136_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 5\171206_054410136_Camera_5_bin.png
7514,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030141099_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030141099_Camera_5_bin.png
20861,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_055028200_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_055028200_Camera_6_bin.png
11766,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030859801_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030859801_Camera_5_bin.png
13018,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030843268_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030843268_Camera_6_bin.png
2184,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 5\170927_064309490_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 5\170927_064309490_Camera_5_bin.png
19013,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054834240_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054834240_Camera_5_bin.png
9443,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030446893_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030446893_Camera_5_bin.png
1406,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 6\170927_064041111_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 6\170927_064041111_Camera_6_bin.png
14085,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054141444_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054141444_Camera_5_bin.png
11620,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030841258_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030841258_Camera_5_bin.png
1720,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 5\170927_064202907_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 5\170927_064202907_Camera_5_bin.png
1613,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 6\170927_064108227_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 6\170927_064108227_Camera_6_bin.png
5628,F:\BaiDuData\data\Imgae\Road03\Record001\Camera 5\171206_025750602_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record001\Camera 5\171206_025750602_Camera_5_bin.png
13781,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054052457_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054052457_Camera_5_bin.png
12031,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030620280_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030620280_Camera_6_bin.png
18075,F:\BaiDuData\data\Imgae\Road04\Record004\Camera 6\171206_054616068_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record004\Camera 6\171206_054616068_Camera_6_bin.png
7991,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 6\171206_030054412_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 6\171206_030054412_Camera_6_bin.png
11097,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030729671_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030729671_Camera_5_bin.png
1573,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 6\170927_064102987_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 6\170927_064102987_Camera_6_bin.png
17268,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 6\171206_054420871_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 6\171206_054420871_Camera_6_bin.png
11963,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030611373_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030611373_Camera_6_bin.png
14892,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054059049_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054059049_Camera_6_bin.png
13433,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054017170_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054017170_Camera_5_bin.png
8650,F:\BaiDuData\data\Imgae\Road03\Record004\Camera 6\171206_030217196_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record004\Camera 6\171206_030217196_Camera_6_bin.png
3417,F:\BaiDuData\data\Imgae\Road02\Record005\Camera 6\170927_064350969_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record005\Camera 6\170927_064350969_Camera_6_bin.png
8866,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030325192_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030325192_Camera_5_bin.png
11420,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030810885_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030810885_Camera_5_bin.png
10197,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030431246_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030431246_Camera_6_bin.png
6176,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 5\171206_025922009_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 5\171206_025922009_Camera_5_bin.png
8821,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030319452_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030319452_Camera_5_bin.png
8875,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030326308_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030326308_Camera_5_bin.png
7733,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 6\171206_030020229_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 6\171206_030020229_Camera_6_bin.png
21515,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 6\171206_055117168_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 6\171206_055117168_Camera_6_bin.png
21542,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 6\171206_055121465_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 6\171206_055121465_Camera_6_bin.png
11830,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030907177_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030907177_Camera_5_bin.png
1418,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 6\170927_064042683_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 6\170927_064042683_Camera_6_bin.png
9107,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030353115_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030353115_Camera_5_bin.png
9663,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030319596_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030319596_Camera_6_bin.png
15127,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054139700_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054139700_Camera_6_bin.png
6060,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 5\171206_025906350_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 5\171206_025906350_Camera_5_bin.png
7396,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030121342_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030121342_Camera_5_bin.png
4795,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 5\170927_064706899_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 5\170927_064706899_Camera_5_bin.png
6001,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 5\171206_025858185_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 5\171206_025858185_Camera_5_bin.png
3624,F:\BaiDuData\data\Imgae\Road02\Record005\Camera 6\170927_064420407_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record005\Camera 6\170927_064420407_Camera_6_bin.png
2311,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064157723_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064157723_Camera_6_bin.png
6499,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 6\171206_025913369_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 6\171206_025913369_Camera_6_bin.png
827,F:\BaiDuData\data\Imgae\Road02\Record002\Camera 6\170927_063945625_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record002\Camera 6\170927_063945625_Camera_6_bin.png
4701,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 5\170927_064652894_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 5\170927_064652894_Camera_5_bin.png
20299,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_054907104_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_054907104_Camera_6_bin.png
10322,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030456005_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030456005_Camera_6_bin.png
7709,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 6\171206_030017397_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 6\171206_030017397_Camera_6_bin.png
14571,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054025250_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054025250_Camera_6_bin.png
18731,F:\BaiDuData\data\Imgae\Road04\Record005\Camera 6\171206_054727146_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record005\Camera 6\171206_054727146_Camera_6_bin.png
5286,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 6\170927_064640080_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 6\170927_064640080_Camera_6_bin.png
6576,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 6\171206_025923764_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 6\171206_025923764_Camera_6_bin.png
15149,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054142098_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054142098_Camera_6_bin.png
2553,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064232770_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064232770_Camera_6_bin.png
17945,F:\BaiDuData\data\Imgae\Road04\Record004\Camera 5\171206_054635291_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record004\Camera 5\171206_054635291_Camera_5_bin.png
19137,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054851707_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054851707_Camera_5_bin.png
14646,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054032825_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054032825_Camera_6_bin.png
925,F:\BaiDuData\data\Imgae\Road02\Record002\Camera 6\170927_063958266_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record002\Camera 6\170927_063958266_Camera_6_bin.png
20881,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_055030919_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_055030919_Camera_6_bin.png
4772,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 5\170927_064703472_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 5\170927_064703472_Camera_5_bin.png
20182,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_054851951_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_054851951_Camera_6_bin.png
12506,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030732635_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030732635_Camera_6_bin.png
20916,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_055035189_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_055035189_Camera_6_bin.png
9935,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030351723_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030351723_Camera_6_bin.png
